original	corrected	count
kitaplarinin	kitaplarının	1
bunlari	bunları	1
hesabina	hesabına	1
topraklarina	topraklarına	1
yazmişlar	yazmışlar	1
açtilar	açtılar	1
yazilar	yazılar	1
fikih	fıkıh	1
dolaşimda	dolaşımda	1
yazmişlari	yazmışları	1
kullanmasiyla	kullanmasıyla	1
tartişmalarindan	tartışmalarından	1
imamlari	imamları	1
kanitlarcasina	kanıtlarcasına	1
oluşturmulardi	oluşturmulardı	1
Yabanciların	Yabancıların	1
anlamina	anlamına	1
ETN	ETM	1
IBER	İBER	1
yargilama	yargılama	1
yapilacaktir	yapılacaktır	1
insani	insanı	1
olduklarinı	olduklarını	1
Ispanya’ya	İspanya’ya	1
ayin	ayın	1
yapildiğini	yapıldığını	1
midir	mıdır	1
Misir’daki	Mısır’daki	1
sarik	sarık	1
kadinlarin	kadınların	1
kiyafetleri	kıyafetleri	1
farklidir	farklıdır	1
kralliğin	krallığın	1
anlaşmazliklara	anlaşmazlıklara	1
konumlandiracak	konumlandıracak	1
yasaklanirsa	yasaklanırsa	1
soydaşlarinın	soydaşlarının	1
farkliliklarini	farklılıklarını	1
kuşanirlar	kuşanırlar	1
imani	mani	1
tanimlar	tanımlar	1
kullandiği	kullandığı	1
bağliliği	bağlılığı	1
çağdaşi	çağdaşı	1
dayanima	dayanma	1
olmasindan	olmasından	1
atalarinin	atalarının	1
kalmasindan	kalmasından	1
azinlik	azınlık	1
olmanin	olmanın	1
mirasini	mirasını	1
dokunakli	dokunaklı	1
anlatimi	anlatımı	1
yilindaki	yılındaki	1
Hiristiyanliği	Hıristiyanlığı	1
mirasina	mirasına	1
ayrilamaz	ayrılamaz	1
ayrilmayan	ayrılmayan	1
çalşmasi	çalşması	1
katilmişlardir	katılmışlardır	1
Arenal’in	Arenal’ın	1
vurguladiği	vurguladığı	1
Ahnıad	Ahmad	1
Islam'a	İslam'a	1
çabalardi	çabalardı	1
itikadini	itikadını	1
inanir	inanır	1
Ispanya'da	İspanya'da	1
taninır	tanınır	1
sayısiz	sayısız	1
Mansûr	Mamur	1
Fransizca	Fransızca	1
anladiğini	anladığını	1
almiştir	almıştır	1
Ispanya'dan	İspanya'dan	1
siğinan	sığınan	1
amaci	amacı	1
yapilmasi	yapılması	1
hayir	hayır	1
anlatiliyordu	anlatılıyordu	1
Yazarin	Yazarın	1
Islami	İslami	1
alaninda	alanında	1
çağrisinin	çağrısının	1
yansittiğina	yansıttığına	1
Yarimada'yi	Yarımada'yı	1
tanimiti	tanımıtı	1
karşilaşacak	karşılaşacak	1
vardir54	vardır54	1
anlatmaktaydi	anlatmaktaydı	1
ayrilmıt	ayrılmıt	1
yazarin	yazarın	1
Ispanya’da	İspanya’da	1
aldiği	aldığı	1
yazilmıti	yazılmıtı	1
biliyordıı	biliyordu	1
ayrılınaz	ayrılmaz	1
giinümüze	günümüze	1
Ispanya’dan	İspanya’dan	1
giymi	giyim	1
kanitidır	kanıtıdır	1
topraklarindan	topraklarından	1
atilan	atılan	1
yapmışlardi	yapmışlardı	1
yılinda	yılında	1
yildır	yıldır	1
başkalarinın	başkalarının	1
suçlanmıti	suçlanmıtı	1
saklamalari	saklamaları	1
kiyilara	kıyılara	1
yanaştiklarinda	yanaştıklarında	1
dönmüyorlardi	dönmüyorlardı	1
Traité	Traite	1
anlayışlari	anlayışları	1
canliliklari	canlılıkları	1
Yabudi	Yabudı	1
hatirlanabilir	hatırlanabilir	1
Müslümandilar	Müslümandılar	1
yaygin	yaygın	1
kullanilan	kullanılan	1
kullanilmiştir	kullanılmıştır	1
sayisiz	sayısız	1
çalişmasinda	çalışmasında	1
başliği	başlığı	1
toplamışti	toplamıştı	1
anlaminda	anlamında	1
miydi	mıydı	1
Topraklarindan	Topraklarından	1
sayılari	sayıları	1
kavramin	kavramın	1
uygarliklarin	uygarlıkların	1
uğraşmaktaydilar6l	uğraşmaktaydılar6l	1
çatişmasidir	çatışmasıdır	1
çatimasidir62	çatımasıdır62	1
kopartilmiş	kopartılmış	1
yarlami	yarlamı	1
bağlantilarinin	bağlantılarının	1
değiiklik	değiıklık	1
iine	une	1
karimayalim	karımayalım	1
Kralliğin	Krallığın	1
sağlanmasi	sağlanması	1
adina	adına	1
uyruklarinin	uyruklarının	1
ağirlik	ağırlık	1
kurumlarin	kurumların	1
rahatsiz	rahatsız	1
sağlanmasina	sağlanmasına	1
çağin	çağın	1
baski	baskı	1
kalmayip	kalmayıp	1
ayrildiği	ayrıldığı	1
sultanin	sultanın	1
topluluklarin	toplulukların	1
Protestanlari	Protestanları	1
meşrulaştirmadir	meşrulaştırmadır	1
kullanmasindan	kullanmasından	1
Protestanlarin	Protestanların	1
Moravyali	Moravyalı	1
Polonyalilar	Polonyalılar	1
bağimliliklarini	bağımlılıklarını	1
anlatıları	anlatılan	1
rnola	mola	1
salgini	salgını	1
alti	altı	1
siki	sıkı	1
kaldiği	kaldığı	1
ina	ına	1
yildan	yıldan	1
kapali	kapalı	1
ayrilir	ayrılır	1
karşılanacaği	karşılanacağı	1
olacaktir5	olacaktır5	1
bulunmasi	bulunması	1
kazanir	kazanır	1
ortasinda	ortasında	1
haçli	haçlı	1
imtiyazlan	imtiyazları	1
çıkarlari	çıkarları	1
bari	biri	1
muhafazasi	muhafazası	1
karşılik	karşılık	1
karşıliğinda	karşılığında	1
yapmayacağini	yapmayacağını	1
varirlar7	varırlar7	1
dukasi	dukası	1
tarikatlarinin	tarikatlarının	1
stadini	stadını	1
pazarliğina	pazarlığına	1
alir	alır	1
olmasidir	olmasıdır	1
kiliğina	kılığına	1
kaldirır	kaldırır	1
anlamiyla	anlamıyla	1
pazarliklar	pazarlıklar	1
dolaştirir	dolaştırır	1
Mathias’in	Mathias’ın	1
hizmetkârini	hizmetkarını	1
bulundurulmasi	bulundurulması	1
kralinın	kralının	1
Italya'ya	İtalya'ya	1
çıkmasi	çıkması	1
başlattiği	başlattığı	1
giriim	şirin	1
karşısinda	karşısında	1
sağlamasi	sağlaması	1
kurtarir	kurtarır	1
çıkartir	çıkartır	1
hayatini	hayatını	1
tarikatiyla	tarikatıyla	1
karşiliğin	karşılığın	1
Osmanlilar	Osmanlılar	1
siğinmiş	sığınmış	1
naaşi	naaşı	1
Adasi'ni	Adası'nı	1
yillarinin	yıllarının	1
olaylari	olayları	1
meden	neden	1
siğinma	sığınma	1
Imparatorluğu'na	İmparatorluğu'na	1
Hiristiyanlara	Hıristiyanlara	1
Iktidardan	İktidardan	1
Misır	Mısır	1
sultani	sultanı	1
sultanini	sultanın	1
yanlarindan	yanlarından	1
yarşan	yarın	1
firsat	fırsat	1
pazarlik	pazarlık	1
alacaktir	alacaktır	1
Sira	Sıra	1
olayin	olayın	1
kahramanlari	kahramanları	1
çikarlarini	çıkarlarını	1
hükümdarlarin	hükümdarların	1
kaçınacağiz	kaçınacağız	1
tarikatina	tarikatına	1
siğinır	sığınır	1
kurmaktadir8	kurmaktadır8	1
Kayitbay	Kayıtbay	1
uyguladiklari	uyguladıkları	1
yararlanirlar	yararlanırlar	1
davraniştir	davranıştır	1
sizdirirlar	sızdırırlar	1
anlaşmadir	anlaşmadır	1
imanlarini	imanlarını	1
savunmaktadirlar	savunmaktadırlar	1
faydaciliği	faydacılığı	1
açtiği	açtığı	1
yaşamini	yaşamını	1
Italya'da	İtalya'da	1
kalabalik	kalabalık	1
ayrilirken	ayrılırken	1
satin	satın	1
hizmetkârlari	hizmetkarları	1
eşrafindan	eşrafından	1
baronu	Baron	1
kizi	kızı	1
tanişti	tanıştı	1
tarzi	tarzı	1
kitapliğindan	kitaplığından	1
Roma’yi	Roma’yı	1
sayilamayacak	sayılamayacak	1
sağladi	sağladı	1
çıktilar	çıktılar	1
arkadaşlarindan	arkadaşlarından	1
Sultan’in	Sultan’ın	1
bakilirsa	bakılırsa	1
kitabinda	kitabında	1
atli	atlı	1
oyunlarini	oyunlarını	1
demi	den	1
Insanin	İnsanın	1
ağırladi	ağırladı	1
ulaşimini	ulaşımını	1
tartişmada	tartışmada	1
Sforza’nin	Sforza’nın	1
hoşlanip	hoşlanıp	1
hoşlanmadiğini	hoşlanmadığını	1
Bazi	Bazı	1
sikıya	sıkıya	1
Bazilari	Bazıları	1
yakininda	yakınında	1
yillik	yıllık	1
şatafatli	şatafatlı	1
yanlarinda	yanlarında	1
Yanlarindan	Yanlarından	1
tarikatin	tarikatın	1
varlikli	varlıklı	1
Avrupa'nin	Avrupa'nın	1
anlattiği	anlattığı	1
olaylarin	olayların	1
tarikati	tarikatı	1
olmayacakti	olmayacaktı	1
Italya’ya	İtalya’ya	1
varir	varır	1
kapinin	kapının	1
sultaninin	sultanının	1
adim	adım	1
kalkip	kalkıp	1
ayağini	ayağını	1
geniden	gemiden	1
uzaklaştirilmiş	uzaklaştırılmış	1
Hristiyanin	Hristiyanın	1
başyardimcisi	başyardımcısı	1
tekrarlandi	tekrarlandı	1
kiyısindan	kıyısından	1
üstadinin	üstadının	1
anlattina	anlattına	1
karılandiğı	karılandığı	1
Sonrasinda	Sonrasında	1
anesinin	mesinin	1
aninda	anında	1
canli	canlı	1
şaşırtici	şaşırtıcı	1
sarikli	sarıklı	1
Isa’nin	İsa’nın	1
Hiristiyanliğin	Hıristiyanlığın	1
düşmanlari	düşmanları	1
Ressamlarin	Ressamların	1
basimlari	basımları	1
basimlarda	basımlarda	1
elyazmasindaki	elyazmasındakı	1
dell'Altissimo	dell'altıssımo	1
yaşatir	yaşatır	1
kitapliğinda	kitaplığında	1
aldiğimiz	aldığımız	1
çağina	çağına	1
yili	yılı	1
dolaylarinda	dolaylarında	1
canini	canını	1
kralin	kralın	1
Hanedani	Hanedanı	1
ittifaki	ittifakı	1
bağina	başına	1
almasini	almasını	1
oradadir	oradadır	1
dolaşmi	dolaşmı	1
bağişlayan	bağışlayan	1
Masalci	Masalcı	1
Babialide	Babıalide	1
hatirlayan	hatırlayan	1
asi	işi	1
kaldiğin	kaldığım	1
sultan1	sultanı	1
Hasan’in	Hasan’ın	1
bunalimi	bunalımı	1
kalmasini	kalmasını	1
Saltanati	Saltanatı	1
ayrilik	ayrılık	1
Başlangiçta	Başlangıçta	1
iktidari	iktidarı	1
cani	canı	1
pahasina	pahasına	1
Babiali’ye	Babıali’ye	1
bağlanmiş	bağlanmış	1
limanina	limanına	1
komutasinda	komutasında	1
bulunmaktadir	bulunmaktadır	1
katkisi	katkısı	1
birakilir	bırakılır	1
alinır	alınır	1
kiyı	kıyı	1
konumlarini	konumlarını	1
hatirlatir15	hatırlatır15	1
hanedanindandir	hanedanındandır	1
akrabalarindan	akrabalarından	1
Sahtekârin	Sahtekarın	1
hükümdarini	hükümdarını	1
kirikliklarıni	kırıklıklarını	1
Hiristiyanlardan	Hıristiyanlardan	1
katilmıti	katilmıtı	1
Kaptaniderya	Kaptanıderya	1
babasini	babasını	1
yilini	yılını	1
ulaştiğinda	ulaştığında	1
Avusturyali	Avusturyalı	1
tahtan	tahtın	1
babasi	babası	1
Ispanyollarin	İspanyolların	1
Goleta'nin	Goleta'nın	1
igalini	ığalını	1
Ispanyollari	İspanyolları	1
yayilan	yayılan	1
anlayışınin	anlayışının	1
damgasini	damgasını	1
kullanildi	kullanıldı	1
Turklerle	Türklerle	1
kazandiği	kazandığı	1
kazanmasi	kazanması	1
adamlarindan	adamlarından	1
Imparator	İmparator	1
dahasi	dahası	1
hükümdarin	hükümdarın	1
olmalaridir	olmalarıdır	1
Osmanlilara	Osmanlılara	1
Hiris	Hıris	1
taşimaktaydi17	taşımaktaydı17	1
tanitilmışti18	tanıtılmıştı18	1
tanrililardan	tanrılılardan	1
çarmihin	çarmıhın	1
kurtarilmış	kurtarılmış	1
imanini	imanını	1
amaçlamasi	amaçlaması	1
anlatilarinda	anlatılarında	1
açimizdan	açımızdan	1
soylarindan	soylarından	1
hasimlarina	hasımlarına	1
donanmasi	donanması	1
kişı	kişi	1
dolayinda	dolayında	1
sonrasnda	sonrasında	1
tanimalari	tanımaları	1
tekrarlandiğini	tekrarlandığını	1
hatirlatalim	hatırlatalım	1
nanmasinin	nanmasının	1
barinabilmesi	barınabılmesi	1
çatişmalari	çatışmaları	1
tebaasi	tebaası	1
Düşmanlari	Düşmanları	1
tebaasinin	tebaasının	1
Hasan'in	Hasan'ın	1
yaptiğı	yaptığı	1
