note	book	page	result	score	quote
Caliphate.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 377	updated		Yarm sekiz vekil gelerek Halifeiye buna a*kurinun gitmeme miiyaade Afganistun'u  → vekil gelerek Halife'ye ya bana itaatle askerinin biçimi gitmeme müsaade olunmas
Capitulations.md	Avrupa ve Biz (İlber Ortaylı)	p. 162	unmatched	82	TARiHI SÜREÇ iÇERiSiNDE AVRUPA iLE iKTiSADI BÜTÜNLEŞME SORUNU 151 gitmeyen kapit
Capitulations.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 23	unmatched	0	…ah}uğa'sıfcliamnezimaışoalleaauttrtşldietleruı,rr.kuoeSyrnatoadyrçilıcaakarğudr
Famine and epidemics.md	İstiklal Harbi ve Anadolu (Mehmet Turgut Argun)	p. 244	unmatched	0	Haydarpaşa Askeri Veteriner Tatbikat Okulu salgın hastalıklar asistanlığı yaptı,
Famine and epidemics.md	Enver (Murat Bardakçı)	p. 79	unmatched	0	…llarda hayatını Enver ı:ı l ı ı l ı ı r H ı ı l t ı ı n l ı ı b i rl ştiren, Sa
Famine and epidemics.md	Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 223	unmatched	0	DEMIRYOLU TAŞIMACIUÖI HAKKINDA BAZI DEÖERLENDIRMELER 2 1 1 kolera başladı ise de
Famine and epidemics.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 101	unmatched	0	1686 yılındaki kıtlık nedeniyle bir 9 öteki de _ .ısındaki Balkan kökenli iki kı
Informants and spies (jurnal system).md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 266	unmatched	0	267 pek ve hafiye bemen Sultan Hamid gewcek surette anlat•yor ve bu sirada eskiy
Informants and spies (jurnal system).md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 292	updated		H&kki Bey de Mo€kova'ya gåadereeegimiz paray: henrlem4 Ben bir gun evvei Istanbu → Hakkı Bey de Moskova'ya göndereceğimiz parayı hazrlamsg. Ben bir iki gün evvel I
Informants and spies (jurnal system).md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 57	unmatched	0	…notame asg,aiyrreıı.kr,pdDaoeplnaai,rln,dıinTğiünbreakşkgtaöarrebz,ıirokoıgyğüa
