note	book	page	result	score	quote
Kafkasya.md	Enver (Murat Bardakçı)	p. 227	unmatched	0	I mk'taki başarılarının ardından Kafkasya'ya, Kafkas 1 l lı ı ı ı 01'C l t ıHu'n
Kafkasya.md	Bir Yedek Subayın Anıları (Faik Tonguç)	p. 314	unmatched	0	Yeniden Kafkasya ykvbMoaeaerknykidattviuempvdileatzahae,iammakhmtrâoıeanlymsgtlu
Kafkasya.md	Talat Paşa'nın Anıları (Talat Paşa)	p. 115	updated		“Ekselansınıza aşağıdaki üzücü olayları bildirmeyi bir görev bilirim: Bazı kışkı → Ekselansınıza aşağıdaki üzücü olayları bildirmeyi bir görev bilirim: Bazı kışkır
Kafkasya.md	Şahbaba (Murat Bardakçı)	p. 668	updated		Kafkas Rü'ütNihtndu bulunun kurargåh (Ilt/u•rlcpl lizerlnc hlicum edgrek muzikae → meydana cihararah birer birer öldürdüler. Bir kısm peneoreden açugiya atladt. bi
Kafkasya.md	Bu Defa Niçin Harp Edeceğimi Biliyorum (İbrahim Sorguç)	p. 134	unmatched	0	…e Filistin hezimeti • L Kefertii:; -Dilmdar muhareb e s i a ı Esaret -Nablus ci
Kafkasya.md	Türkiye'de Beş Yıl (Liman von Sanders)	p. 373	unmatched	0	Süvari Tümeni Sol kesimde piyadelerin arası na yerleştirilmiş vaziyette Kafkas S
Kars.md	Enver (Murat Bardakçı)	p. 644	unmatched	0	13 Ekim: 20 Ekim: Ankara Meclisi ile Kafkas Cumhuriyetleri arasında Kars Anlaşma
Kars.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 67	unmatched	0	Bu gece olm biruada diiWndiikce pek derin yarøla.r hi—ediyorum. fayda. gi.in bil
Kars.md	Şahbaba (Murat Bardakçı)	p. 30	unmatched	0	Me}hur Kinm Sava*l ba91ad1, Sivastopol kuptlldl. $ehir 9 Eylül 1855'te müttefikl
Kastamonu.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 205	updated		Örneöin "l<ütahya, Sivas, Kastamonu illerinde oturaklama olaylarlna raslanmakta, → durumu Sivas, Kastamonu illerinde oturaklama olaylarına raslanmakta, Kastamonu'd
Kastamonu.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 90	updated		Kastamonu Mebusu HasanFehmi 35 Acara muhacirlerinden olan ve Malta sUrglinleri a → Kastamonu Mebusu Hasan Fehmi 35 Acara muhacirlerinden olan ve Malta sürgünleri a
Kastamonu.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 205	updated		Örneöin "l<ütahya, Sivas, Kastamonu illerinde oturaklama olaylarlna raslanmakta, → durumu Sivas, Kastamonu illerinde oturaklama olaylarına raslanmakta, Kastamonu'd
Kastamonu.md	İstiklal Harbi ve Anadolu (Mehmet Turgut Argun)	p. 244	unmatched	0	İnebolu, Kastamonu, Çankırı, Ankara, Akşehir, Afyon, İzmir'e kadar Anadolu'nun ç
Kastamonu.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 249	unmatched	0	… Kemal Bey Yusuf Kemal Bey Ahmet Ferid Bey Hasan Bey Hasan Fehmi Bey Hamdullah 
Kastamonu.md	Kızıltoprak Anıları (Nezih H. Neyzi)	p. 432	updated		Tarihi Edebi-i Alem, Loliee'den tercüme, Kastamonu Vilayet Matbaası, 1897. Ziraa → Tarihi Edebi-i Alem, Loliee'den tercüme, Kastamonu Vilayet Matbaası, 1897. Ziraa
Kastamonu.md	Kızıltoprak Anıları (Nezih H. Neyzi)	p. 432	updated		Ziraat Dersleri, Kastamonu Rüştiye-i Askeriyesi Lisan Muallimi Mülazım-ı Evvel M → Ziraat Dersleri, Kastamonu Rüştiye-i Askeriyesi Lisan Muallimi Mülazım-ı Evvel M
Kastamonu.md	İttihad ve Terakki Yargılamaları III (Erol Şadi Erdinç)	p. 998	updated		olan 58'nci maddenin ikinci fıkrasına tevfikan onar sene müddetle kalebend edilm → olan 58'nci maddenin ikinci fıkrasına tevfikan onar sene müddetle kalebend edilm
Kastamonu.md	Tarih Boyunca Türk Atasözleri (Aydın Oy)	p. 377	updated		"Türk Dil Kurumu yayınlarından" (Divan-ü Lügat-it Türk'teki savları inceleme, aç → Türk Dil Kurumu yayınlarından" (Divan-ü Lügat-it Türk'teki savları inceleme, açı
Kastamonu.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 514	unmatched	0	ve Eviiyakul Beylery•lvklarmu (okmv. filxiiilevl*bnr kendilerirtc verdi@im k.rrm
Kastamonu.md	Sultanın Paşaları (Olivier Bouquet)	p. 139	unmatched	0	…tip Erzurum vilayetinde mektupçu ve politika memuru Sisom odasında memur Bu gör
Konya.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 115	updated		Konya'da, geleneksel Türkiye "ä9Eklar bayraml"mn 10. Yili dolaylsyla, Konya Turi → görenek ve inançlar, Ankara 1976). "Uluslararası Folklor ve Halk Edebiyatı Semin
Konya.md	Şahbaba (Murat Bardakçı)	p. 49	updated		Halbuki böyle yapmasam bu herifler (ittihadpladl kastediyor) beni Konya'ya gönde → Halbuki böyle yapmasam bu herifler (İttihadçılar) kastediyor) beni Konya'ya gönd
Konya.md	Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 207	unmatched	0	HATlAR VE PLANLAR 1 95 Hatlar AfyonkarahisarEskişehir KonyaAfyonkarahisar Konya-
Konya.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 52	updated		Hemen hemen bizja:n Konya ve Sivasit,aki Selq•uki mimarisini andU7T. yvk'lmayo b → Hemen hemen bizim Konya ve Sivas'taki Selçuki tarz-s mimarisini andurur. Cami, e
Konya.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 327	updated		Kend.iEJ bizde iptidä5 de dåhil nldij•u holde bs idadjde,iki $ene de Konya ukumu → Kendisi bizde iptidai de dáhil olduğu halde beş sene idadide, iki sene de Konya 
Konya.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 193	unmatched	0	Konya Valisi PTT Eski Maarif Nazm Ziraat ve Tic. Nazm Defter-i Hakani Emini Bohr
Konya.md	Cumhuriyet'in Çinli Misafirleri (Giray Fidan)	p. 166	unmatched	0	Kongniya Konya (Konia) **it :ıllll .J:?ı * li ?ıli'.Wi Bulusa Dongluomadiguo Bos
Kudüs.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 317	unmatched	0	1897 TARiHLi iSTATiSTiK YILLIGI 299 Vilayet Kudüs Musul Van Basra Bagdat Beyrut 
Kudüs.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 464	updated		“Kudüs mü düştü?" diye sordum. Bu takallús yavaş yavaş açildi ve onun ilk defa a → Kudüs mü düştü?" diye sordum. Bu takallús yavaş yavaş açildi ve onun ilk defa ağ
Kudüs.md	Enver (Murat Bardakçı)	p. 135	unmatched	0	Suriye'yi isteyen Fransa bu konuda İngiltere ı l ı 1 ı ı ı ı l ı ı � ı ı ı ı ıy;
Kudüs.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 194	unmatched	0	Tel. ve Tel. Eski Kudüs Mut. Ferik Sira-Yi Evköf Reisi N.
Kıbrıs.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 362	unmatched	0	YÜZYILDA OSMANLI EKONOMiSi ÜZERiNE AAAŞTIRMALAR Nev'-i vôridôt Bahriye S ı h h i
Kıbrıs.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 368	unmatched	0	…sılatı 25 Matbaa-i bahriye hasılatı 26 Fırat ve Dicle vapurları hasılatı 27 Maa
Kıbrıs.md	Enver (Murat Bardakçı)	p. 135	unmatched	0	ı ı ' y ı ı l ıüı ı ı ı l ıı ı l , Bogı ı ;�,'ı ı ı l ı ı d ı H ı , M ı ı rı u n
Londra.md	Osmanlı'da Değişim ve Anayasal Rejim Sorunu (İlber Ortaylı)	p. 267	updated		1877’de Gayrimüslim Âyan Azâs›* Meclis-i Âyân** Musurus Paﬂa (Londra sefiri) Mih → 1877’de Gayrimüslim Âyan Azası* Meclis-i Âyân Rütbesi Musurus Paşa (Londra sefir
Londra.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 183	unmatched	69	Nihad Re~d (Belger)'in fahti selcreter ve Londra'da ya§ayan Mirza Ha§im lsfaharu
Londra.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 184	unmatched	0	Ramazanda oruç :.ıdığı gibi, Londra'da Müslümanların ibadethanesi olup ol- -.:::
Lübnan.md	Enver (Murat Bardakçı)	p. 397	updated		Lübnan'a yerleşmiş olan Şerafeddin Efendi de hayattan 1966'da ayrıldı... İttihad → Lübnan'a yerleşmiş olan Şerafeddin Efendi de hayattan 1966'da ayrıldı... İttihad
Lübnan.md	Türkiye'de Milli İktisat (Zafer Toprak)	p. 640	unmatched	0	Şirket-i Hamidiyye İstanbul Beyrut İstanbul İstanbul 1 891 1. Cebel-i Lübnan'da 
Lübnan.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 316	unmatched	0	YÜZVILDA OSMANLI EKONOMiSi ÜZERiNE ARAŞTIRMALAR Tablo 9.1 Osmanlı Devletinin ida
Lübnan.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 186	unmatched	0	Ferik Äyon-l. Ferik Eski Nanr Cebeli Lübnan Milt. Cebeli Lübnan Mut.
Lübnan.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 186	unmatched	0	Ferik Eski Nanr Cebeli Lübnan Milt. Cebeli Lübnan Mut. Eski Muha.Um.Mua.
Lübnan.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 68	unmatched	0	Fahreddin Siı,asal sürgün galerimizdeki ".:Jin'dir; Lübnan'lılaf onun dördüncü k
Lübnan.md	Trablusgarp Savaşı ve Türk-İtalyan İlişkileri (Timothy W. Childs)	p. 33	updated		Fransa, Filistin'in d1�mda, Lübnan ve Suriye'de, Ítalya'nm dini yay1lmasmdan õtü → Fransa, Filistin’in dişinda, Lübnan ve Suriye’de, İtalya’nın dini yayılmasından 
Manastır.md	Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 101	unmatched	0	Ihtiyat Kolordusu Manastır-Kırçova- Gostivar Kalkandelen- VII. Kolordu Üsküp vey
Manastır.md	Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 101	unmatched	0	Kolordu Üsküp veya Komanova 2 Komanova-Köstendil Manasıır Manastır Müfrezesi Man
Manastır.md	Balkan Harbi'nde Ulaştırma (Bülent Durgun)	p. 102	unmatched	0	8 9 10 Menzll Hattı SeiAnik-DemirhisarCuma-i Bala ve SelAnik-Drama N evrekop Man
Manastır.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 62	updated		Kolordulardan Selanik, Dskiip ve Manastir kolordulanyla 1:;ikodra ve Yanya miist → Kolordulardan Selânik, Üsküp ve Manastır kolordularıyla Ikodra ve Yanya müstakil
Manastır.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 316	unmatched	0	YÜZVILDA OSMANLI EKONOMiSi ÜZERiNE ARAŞTIRMALAR Tablo 9.1 Osmanlı Devletinin ida
Manastır.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 322	unmatched	0	YÜZVILDA OSMANLI EKONOMiSi ÜZERiNE ARAŞTIRMALAR Tablo 9.5 Osmanlı Devletinde Oku
Medine.md	Arap İsyanı 1916-1918 (David Murphy)	p. 6	unmatched	0	5 Haziran 1916 sabahı Medine veMekke'deki ana Türkgarnizonlarına Osmanlı iktidar
Medine.md	Batı Edebiyatında Oryantalizm 2 (Onur Bilge Kula)	p. 548	unmatched	80	526 BATI EDEBIYATINDA ORYANTALiZM VE TÜRK iMGESi - 11 sek duvarlar ve kulelerle 
Medine.md	Şahbaba (Murat Bardakçı)	p. 483	unmatched	79	465 bi, o belde-i mübareke ise beynelmüslümin mü#erek bir dårü'l-emån Olup kimse
Medine.md	Şahbaba (Murat Bardakçı)	p. 645	updated		..Cülûs-l hümayun ramazan nihayetlerinde vuku bulmuş… → Cülûs-l hümayun ramazan nihayetlerinde vuku bulmuş…
Medine.md	Atatürk'le Beraber (Mazhar Müfit Kansu)	p. 519	updated		sonra Ruslardan istirdat eylemiş ve bir müddet sonra İkinci Ordu kumandanlığı ve → sonra Ruslardan istirdat eylemiş ve bir müddet sonra İkinci Ordu kumandanlığı ve
Medine.md	Osmanlı Arap Coğrafyası ve Avrupa Emperyalizmi (Ali Akyıldız)	p. 227	unmatched	82	2 1 4 OSMANLI ARAP cOORAFYASI VE AVRUPA EMPERYALiZMi Lina'yı zahiren Hac yolunu 
Medine.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 199	updated		Medine meülcsinde hakikaten gö8term1#ii- Riza Bey de iyi bir b#ure 'kk sarunm. d → göstermişti. Rıza Bey de iyi bir arkadastur. Fakat biçare pek çok yasamayacak sa
Medine.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 209	updated		Medine•n.in milletleri tara.firad.an idaresi karar verildi- Halbuk:i tmeden sonr → gazetede makale yazalmasına karar verildi. Halbuki ögleden sonra Sabırcan Efendi
Medine.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 107	unmatched	0	Mekke ile tüccarlar hepsi de Hıristiyan Medine'ye giden tüccarların eline -_",_-
Medine.md	Arap İsyanı 1916-1918 (David Murphy)	p. 6	unmatched	0	5 Haziran 1916 sabahı Medine veMekke'deki ana Türkgarnizonlarına Osmanlı iktidar
Mekke.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 209	updated		Onlar biide:n COL, iyi yiyorlar„ Gorba iyi degi]cii petates, peyain gilek iyi„ B → cilek çok iyi. Buradan eve gelip Trabzon'dan gelen evrak okuduk ve nihayet diğer
Mekke.md	Osmanlı Piyadesi 1914-1918 (David Nicolle)	p. 10	unmatched	0	27 Haziran Mekke Şerifi bağımsızlığını ilan etti (Arap Ayaklanması'nın başlangıc
Mekke.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 107	unmatched	0	Mekke ile tüccarlar hepsi de Hıristiyan Medine'ye giden tüccarların eline -_",_-
Mısır.md	Şahbaba (Murat Bardakçı)	p. 397	updated		Ezher, 13 Mayrs 1926'da Kahire'de bir "Hilåfet Kongresi" toplanacaÉrm duyurarak  → Kral Fuad. Kralın hayalini gerçekleştirme işi Mısırın bin küsur yaşındaki meşhur
Mısır.md	Şahbaba (Murat Bardakçı)	p. 686	updated		Kahire'ye yerl#ti, El Ezhedde hocahk etti, 150'likler igin Gikartllan aEan sonra → Kahire'ye yerleti, El Ezher'de hocalık etti, 150'likler için çıkartılan aftan so
Mısır.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 272	updated		270 olan erkek torununu veliahdi yapacagrm soyliiyordu. ~erif Pa~a, hayatrm 22 A → olan erkek torununu veliahdı yapacağını söylüyordu. Şerif Paşa, hayatını 22 Aral
Mısır.md	Osmanlı Piyadesi 1914-1918 (David Nicolle)	p. 9	unmatched	0	1915 150cak Osmanlı ordusu Mısır'ı işgal etmek için Filisttn'deki Btrüssebı'den 
Mısır.md	Arap İsyanı 1916-1918 (David Murphy)	p. 53	unmatched	0	Gclgelclim ı o Tcmmuz'da Kahire'ye ulaştığında Mısır Seferi Kuvveıi'ne yeni bir 
Paris.md	Enver (Murat Bardakçı)	p. 397	updated		Abdülhalim Efendi, Paris'te 1926'da büyük maddî sıkıntılar içerisinde vefat etti → Abdülhalim Efendi, Paris'te 1926'da büyük maddî sıkıntılar içerisinde vefat etti
Paris.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 38	updated		27 Arahk 1907 'de Paris'te toplanan kongrede "usul-i idarenin" derhal Ylkllmasl  → Terakki Cemiyet’nin (İTC) etkinliğini artırdı. 27 Aralık ması konusunda anlaşmay
Paris.md	Osmanlı Arap Coğrafyası ve Avrupa Emperyalizmi (Ali Akyıldız)	p. 103	updated		Alman ve Avusturya matbuatı -arzolunduğu tarzda- mütalaat beyan ederken Paris'te → Alman ve Avusturya matbuatı -arzolunduğu tarzda- mütalaat beyan ederken Paris'te
Paris.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 75	updated		"Etnografik" ve "etnolojik" filmlerin çekimine 1900 yılında Paris'de toplanan "U → Etnografik" ve "etnolojik" filmlerin çekimine 1900 yılında Paris'de toplanan "Ul
Paris.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 299	updated		Bense lot,igiin I'lshltden elime bir Mysteré de Pari* igrnindeki duldiE1'iY' Fal → ismindeki romana daldim. Fakat herhalde saçma olmakla beraber senin okuduğum Mon
Paris.md	Osmanlı'da Değişim ve Anayasal Rejim Sorunu (İlber Ortaylı)	p. 306	unmatched	73	Siyasî co¤rafyadaki bu sars›nt›lar, Avrupa’n›n kolonyal imparatorluklar› içinde 
Paris.md	Arap İsyanı 1916-1918 (David Murphy)	p. 80	unmatched	0	Paris'i hassaten Osmanlı'dan kalan toprakların kaderini belirlemeye hasredilmiş 
Sarıkamış.md	Bir Yedek Subayın Anıları (Faik Tonguç)	p. 388	unmatched	0	Sarıkamış m ei ardından Ruslara karşıaçılan ve SOonuçsuz FaikTonguç (1889-1968),
Selanik.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 363	unmatched	70	Selanik'te 1873'te dogdu, lstanbul'da Hukuk Fakfiltesi'nde okudu, siyaset ile ge
Selanik.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 363	updated		…had ve Terakki'ye katilmaya o ikna etti ve her iki pa§arun yarusrra, sonraki se → İttihad ve Terakkiye katılmaya o ikna etti ve her iki paçanın yanısıra, sonraki 
Selanik.md	Türkiye'de Milli İktisat (Zafer Toprak)	p. 645	unmatched	0	Mensucat Ticateti Osmanlı Anonim Şirketi İstanbul Selanik İstanbul İzmir Konya İ
Selanik.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 114	unmatched	0	Hükümet Üyeleri149 Nanrlar Sadrazam Seyhülislom Harbiye Nann Hariciye Nann Adliy
Selanik.md	Şahbaba (Murat Bardakçı)	p. 576	updated		… Kånunevvel muhassasatlanmm biran evvel göndertilmesine ve bundan sonra da munt → Kânunevvel muhassasatlarımın biran evvel göndertilmesine ve bundan sonra da munt
Sofya.md	Şahbaba (Murat Bardakçı)	p. 71	updated		..Son günlerde bakanlardan birkaçının istifası, Tal’at, Şükrü beylerin olduğu gi → Son günlerde bakanlardan birkaçının istifası, Tal’at, Şükrü beylerin olduğu gibi
Sofya.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 357	unmatched	62	355 171 SOFYA SEFiRi FETHi BEY'iN CEMAL PA~AYA MEKTUBU (19 Arallk 1913) Osmanh l
Sofya.md	Osmanlı'da Değişim ve Anayasal Rejim Sorunu (İlber Ortaylı)	p. 256	updated		Nitekim, bu nedenle de burada bazen prenslikte oldu¤undan daha özgür bir Bulgar  → etkin bir biçimde, adeta bir parlamento gibi çalışıyordu. Nitekim, bu nedenle de
Suriye.md	Osmanlı İmparatorluğu Tarihi (Robert Mantran)	p. 521	updated		Anadolu'nun, Suriye'nin kimi yörelerinde durum budur: Suriye'de, Şeyh Zahir'den  → Anadolu'nun, Suriye'nin kimi yörelerinde durum budur: Suriye'de, Şeyh Zahir'den 
Suriye.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 71	unmatched	70	1SO'likler listesine ahndi, Romanya'da, 1talya'da, Yunanistan'da ve Suriye'de ya
Suriye.md	Enver (Murat Bardakçı)	p. 135	unmatched	0	Suriye'yi isteyen Fransa bu konuda İngiltere ı l ı 1 ı ı ı ı l ı ı � ı ı ı ı ıy;
Suriye.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 316	unmatched	0	YÜZVILDA OSMANLI EKONOMiSi ÜZERiNE ARAŞTIRMALAR Tablo 9.1 Osmanlı Devletinin ida
Suriye.md	Osmanlı İmparatorluğu Tarihi (Robert Mantran)	p. 521	updated		Anadolu'nun, Suriye'nin kimi yörelerinde durum budur: Suriye'de, Şeyh Zahir'den  → Anadolu'nun, Suriye'nin kimi yörelerinde durum budur: Suriye'de, Şeyh Zahir'den 
Süveyş Kanalı.md	Şahbaba (Murat Bardakçı)	p. 310	updated		Bu dc/it Avrupa'ya gclia 'imde, Süveys'ten iskcndcriye'yc kadar Olan megafi•yi a → Bu defa Hicaz'dan Aorupa'ya gelişimde, Süveyşten İskenderiye'ye kadar olan mesaf
Süveyş Kanalı.md	Arap İsyanı 1916-1918 (David Murphy)	p. 53	unmatched	0	7 Temmuz'da Sina'yı geçip Süveyş'e, oradan da Kahire'deki genel karargaha gitmek
Sırbistan.md	Enver (Murat Bardakçı)	p. 131	unmatched	0	Liste, Avrupa'nın 1 9 14 yazında birbiri, . . . gi rııwı-ı i n i n u rdı ndan ge
Tiflis.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 282	updated		Artik se.kize doÉru Tiflis'* hareket Ben, Salih Cavu;, da dogrosu bugi.1J" de hi → da beraber. Fakat doğrusu bugún de biraz asabílegtim. Çünki dün posta treniyle h
Tiflis.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 283	updated		… sa.aL]eree bekJeyerek nihayet Tillis'e vardik., Bir isiasyon ewel IMega istasy → saatlerce bekleyerek nihayet Tiflis'e vardık. Bir istasyon evvel (Maça istasyonu
Tiflis.md	Talat Paşa'nın Anıları (Talat Paşa)	p. 16	updated		Evinin karşısında bir daire kiralayarak aylarca onu gözlemiş olan katıl, mahkeme → Evinin karşısında bir daire kiralayarak aylarca onu gözlemiş olan katıl, mahkeme
Trablusgarp.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 160	updated		Onlarl göremiyorum" dedikten sonra Trablusgarp'ln, Bingazi'nin i9kodra'mn ve Yan → göremiyorum” dedikten sonra Trablusgarp’ın, Bingazi’nin İşkodra’nın ve Yanya’nın
Trablusgarp.md	Şahbaba (Murat Bardakçı)	p. 77	unmatched	72	81 unutmaml#trr ve Libya #eyhi Sunusi'nin elinden ku9amr lahcmr. Sira o zamanlar
Trablusgarp.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 381	updated		Bingazi'deki Bedevilor bun Lå.keylafzna nisheten pek *kill], Büyü±'U, kU4'UÉiJ t → Bingazi'deki Bedeviler bura Läkaylar'sna nisbeten pek akll. Büyügo, küçügü tuhaf
Trablusgarp.md	19. Yüzyılda Osmanlı Ekonomisi (Tevfik Güran)	p. 317	unmatched	0	1897 TARiHLi iSTATiSTiK YILLIGI 299 Vilayet Kudüs Musul Van Basra Bagdat Beyrut 
Trablusgarp.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 114	updated		Gergekle9mesinde Adnan Saygun'un önemli payl Olan bu kongreye Azerbeycan, Cezayi → etkinliklerin daha sık yapılmasının gereği". can, Cezayir, Fas, Iran, Libya, Mac
Trablusgarp.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 194	unmatched	0	Fas, Cezayir, Tunus, Trablusgarp ve Babıali Hıris- ıı:iı,an ,,,asal topraklarınd
Trabzon.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 29	updated		Paşa, Trabzon'un eski valisi Cemal Azmi Bey, İttihad ve Terakki'nin lider kadros → Paşa, Trabzon'un eski valisi Cemal Azmi Bey, İttihad ve Terakki'nin lider kadros
Trabzon.md	Osmanlı'da Değişim ve Anayasal Rejim Sorunu (İlber Ortaylı)	p. 160	updated		1895 y›l›na ait Trabzon Vilâyeti Sâlnâmesi (Sâln â me-i Vi lây et-i Trab zon, se → 1895 yılına ait Trabzon Vilâyeti Salnamesi (Sâlnâme-i Vilâyet-i Trabzon, sene 13
Trabzon.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 29	updated		Paşa, Trabzon'un eski valisi Cemal Azmi Bey, İttihad ve Terakki'nin lider kadros → Paşa, Trabzon'un eski valisi Cemal Azmi Bey, İttihad ve Terakki'nin lider kadros
Trabzon.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 30	updated		Cemal Azmi Bey: htihad ve Terakki'nin milletvekili, Bursa ve Trabzon valisi. 17  → Cemal Azmi Bey: İttihad ve Terakkinin milletvekili, Bursa ve Trabzon valisi. 17 
Trabzon.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 92	updated		Trabzon ve Havalisinden Top/anms Folklor Ma/zemesi, Biläl Aziz Yanlkoölu, Kenan  → Trabzon ve Havalisinden Topların Folklor Malzemesi, Bilal Aziz Yanıkoğlu, Kenan 
Trabzon.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 144	updated		Honda, Halil'lll Trabzon'u va.rd'#l Mustafa Kemal Halil'in Bolsevikler ile almas → nın Halil'in Bolşevikler ile çalışmış olmasını ileri sürerek havam Trabzon'a kad
Trabzon.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 257	updated		Sabri ile Fuad Pasahun yaveri 'Iheapse*der, motcrla gelmi9er, Buggin Trabzon•a E → Sabri ile Fuad Paça'nun yaveri Tuapse'den motorla gelmişler. Bugün Trabzon'a gid
Trabzon.md	Türkiye'de Hükümetler (İhsan Güneş)	p. 215	unmatched	71	HÜKÜMET PROGRAMLARlNtN MECLiS-i MEBUSANDAKi YANKILARI 271 Trabzon Mebusu Mehmed 
Trakya.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 110	updated		Kendileri Io:.ndnidfl sujhten h#berdar Bißntkilerin I*åt'iir ve Trakya icin beyn → Kendileri Londra'da sulhten haberdar değiller. Bizimkilerin İzmir ve Trakya için
Trakya.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 167	updated		Kendisine Berlin'e yamp Sami"ye Trakya'ya gitmegi.ni tek]ifelLiiimi de ilÉve ett → Kendisine Berlin'e yazıp Sami'ye Trakya'ya gitmesini teklif ettiğini de ilave et
Tuna.md	Türk Halkbilimi (Sedat Veyis Örnek)	p. 161	updated		Örneğin: Fırat, Seyhan, Dicle, Tuna, Berdan, Menderes gibi nehir adlarıyla, Bing → Örneğin: Fırat, Seyhan, Dicle, Tuna, Berdan, Menderes gibi nehir adlarıyla, Bing
Tunus.md	Şahbaba (Murat Bardakçı)	p. 456	updated		Memleketimiz igin böylesine büyük felåketle neticelenmi} Olan bir sava#tan sonra → Memleketimiz için böylesine büyük felâketle neticelenmiş olan bir sa- Kıbrıs gib
Van.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 212	updated		Onda Haet Sami Befin dedi@i te;ki.l.it ve fa]andan yok- Van rukat Oy5e kuweti.i  → Hiç Sami Bey'in dediği teşkilat ve falandan eser yok. Var, fakat öyle kuvvetli d
Van.md	İttihadçı'nın Sandığı (Murat Bardakçı)	p. 279	updated		Ermeni propagandas1, geleneksel uzanttlanyla Kiirdistan'm basit bir fantazik cog → Ermeni propagandası, geleneksel uzantılarıyla Kürdistan'ın basit bir nn n n e po
Van.md	Osmanlı Piyadesi 1914-1918 (David Nicolle)	p. 9	unmatched	0	18 Mart Çanakkale Boğazı'ru geçmeye çalışan İtilaf donanması püskürtüldü, Mart a
Van.md	Avrupa'da Müslümanlar (Lucette Valensi)	p. 63	unmatched	0	Hasan'ın Rubens'in öğrencisi Nicolas Van der Horst tarafindan çiz//en, Paul Pont
Yemen.md	Naciyem, Ruhum, Efendim (Murat Bardakçı)	p. 311	updated		Halk ba:ana bir koyunu sarclaeak d.erecede iri kn.Epaklar iyiyor- Hepsi bixin) ' → kocaman bir koyunu geçirmiş sanalacak derecede iri kalpaklar giviyor. Hepsi bizi
Yeşilköy (Ayastefanos).md	Türkiye'de Milli İktisat (Zafer Toprak)	p. 644	unmatched	0	Yeşilköy Deniz Banyoları Emval-i Gayr-ı Menkule Şirketi (Societe Immobiliere des
