original	corrected	count
bağimsizliğıni	bağımsızlığını	1
binalarindan	binalarından	1
kullanilarak	kullanılarak	1
vurgulanmiştır	vurgulanmıştır	1
yapisini	yapısını	1
Meydani'nda	Meydanı'nda	1
Çemesinin	Cemesinin	1
dani’nda	danı’nda	1
başliklarindaki	başlıklarındakı	1
Bati'da	Batı'da	1
Arıtoine	Antoine	1
MAÇRA	NİÇİN	1
ELn	EN	1
alas	alış	1
BESIKTAS	BEŞİKTAŞ	1
aner	iner	1
Univer'ate	Üniver'ate	1
Egl	Eği	1
Sérail	Serail	1
Degirmen	Değirmen	1
Kapis	Kapıs	1
Deunir	Deunır	1
Baze	Bize	1
erail	eraıl	1
Séraill	Seraill	1
Kap1s1	Kapısı	1
HAYDARPASA	HAYDARPAŞA	1
Kapis!	Kapısı	1
Gare	Çare	1
planu	planı	1
Baie	Baıe	1
Murailles	Mürailles	1
lınperial	lmperial	1
Surlan	Surları	1
