original	corrected	count
Pastirmaciyan	Pastırmacıyan	1
Hinçak	Hınçak	1
komitacileriyla	komitacıleriyla	1
birakmamişti	bırakmamıştı	1
Pastirmaciyan’dan	Pastırmacıyan’dan	1
uzaklaştirmaya	uzaklaştırmaya	1
ulaştirmişti	ulaştırmıştı	1
katilmayan	katılmayan	1
kurtulamamışti	kurtulamamıştı	1
almasindan	almasından	1
inanilabilecek	inanılabılecek	1
tamamlayici	tamamlayıcı	1
yikik	yıkık	1
iizere	üzere	1
küçiik	küçük	1
Hiikümeti	Hükümeti	1
arzıı	arzu	1
vasitasıyla	vasıtasıyla	1
haberlescbilmek	haberleşcbilmek	1
sağliyorduk	sağlıyorduk	1
Kayabryikli	Kayabryıklı	1
başardim	başardım	1
kumandanini	kumandanını	1
çağırdim	çağırdım	1
irza	ırza	1
mutasarrifini	mutasarrıfını	1
yoğunlaştirmalari	yoğunlaştırmaları	1
saldirmalari	saldırmaları	1
almayacaği	almayacağı	1
ulaştiğindan	ulaştığından	1
Maraşa	Manisa	1
çatişmadan	çatışmadan	1
Karabryıkli’da	Karabryıklı’da	1
Eloğlu’ndaki	Eloğlu’ndakı	1
Arabdar’daki	Arabdar’dakı	1
baskinla	baskınla	1
Şani	Sani	1
korumaniz	korumanız	1
bağliliğimizi	bağlılığımızı	1
vatandaşlarinin	vatandaşlarının	1
hirsli	hırslı	1
kışi	kişi	1
onaylanmışti	onaylanmıştı	1
sizip	sızıp	1
hazirlatmışlardi	hazırlatmışlardı	1
toplamışlardi	toplamışlardı	1
yataklari	yatakları	1
birakmışlar	bırakmışlar	1
adlandırdiklari	adlandırdıkları	1
baskinini	baskınını	1
tumsil	tumsıl	1
hazirlikli	hazırlıklı	1
subeleri	şubeleri	1
emun	emin	1
varliklariyla	varlıklarıyla	1
brmudilerini	brmudılerini	1
hazirliklumuzi	hazırlıklumuzı	1
dayandirın	dayandırın	1
durumlarina	durumlarına	1
payina	payına	1
Adasi’na	Adası’na	1
ganli	canlı	1
vaiqurlerine	vaıqurlerine	1
suuvunmasini	suuvunmasını	1
kalktiği	kalktığı	1
Uhn	İhm	1
lükimet	lukımet	1
şartidir	şartıdır	1
saklamayi	saklamayı	1
silablarini	silablarını	1
başlamiti	başlamıtı	1
dağılmasi	dağılması	1
çarpişarak	çarpışarak	1
çıktim	çıktım	1
uğratmiş	uğratmış	1
Sarilar’da	Şarılar’da	1
başarisinin	başarısının	1
arkadaşlarimizdandır	arkadaşlarımızdandır	1
kahramanidır	kahramanıdır	1
basarilar	başarılar	1
başladiğiniz	başladığınız	1
dağilmişti	dağılmıştı	1
kuşatmiş	kuşatmış	1
Kizilhisar’daki	Kızılhısar’dakı	1
Atmacakırliğl’nda	Atmacakırlığl’nda	1
dağildiğı	dağıldığı	1
dağitilmiş	dağıtılmış	1
almaliydim	almalıydım	1
Kazikli	Kazıklı	1
derh	derli	1
korunakli	korunaklı	1
Aril	Amil	1
Arila	Anla	1
Kızilhisar	Kızılhısar	1
başlattim	başlattım	1
uaşmalarinı	uasmalarını	1
kuzeybatisindaki	kuzeybatısındaki	1
toplanmalarini	toplanmalarını	1
komutanliğıyla	komutanlığıyla	1
bulundurmasi	bulundurması	1
karargâhima	karargâhına	1
karşıliğıni	karşılığını	1
kumandanina	kumandanına	1
Kumanl	Kuman	1
korkakliklari	korkaklıkları	1
kararsizliklarıyla	kararsızlıklarıyla	1
harekâtimizın	harekatımızın	1
araciluyla	aracıluyla	1
aldirdim	aldırdım	1
kandiklarinı	kandıklarını	1
yazdirip	yazdırıp	1
uliği’na	ulığı’na	1
Kumandanliğ’na	Kumandanlığ’na	1
kumandisiz	kumandısız	1
savunmayit	savunmayıt	1
başarmişlardir	başarmışlardır	1
katilmasinin	katılmasının	1
doğuracaği	doğuracağı	1
anacaği	anacağı	1
birakacaği	bırakacağı	1
alamadiğim	alamadığım	1
bombardimanina	bombardımanına	1
Genelkurmay’in	Genelkurmay’ın	1
Kizilhisar	Kızılhısar	1
sirtlarda	sırtlarda	1
Başkanliği’ndan	Başkanlığı’ndan	1
gözyaşlarini	gözyaşlarını	1
destani	destanı	1
ayrilacağim	ayrılacağım	1
Aksakalli	Aksakallı	1
biyiği	bıyığı	1
çağindakilere	çağındakilere	1
savunulmasinda	savunulmasında	1
yazmışlardi	yazmışlardı	1
hiikiimete	hükümete	1
toplarinin	toplarının	1
yapilamayacağıni	yapılamayacağını	1
toplanmasinin	toplanmasının	1
varilmişti	varılmıştı	1
Sabib	Sabıb	1
imzalariyla	imzalarıyla	1
dağitiyor	dağıtıyor	1
bastirilmışti	bastırılmıştı	1
Bastirilmasinda	Bastırılmasında	1
Yunanlilari	Yunanlıları	1
Rumlari	Rumları	1
kullani	kullanı	1
ağirlaşmişti	ağırlaşmıştı	1
silahlandirarak	silahlandırarak	1
ratmişti	ratmıştı	1
Bozdağl’ni	Bozdağl’nı	1
Şehzadebaşindaki	Şehzadebaşındakı	1
vurduklari	vurdukları	1
dağittilar	dağıttılar	1
başarmişlardi	başarmışlardı	1
Içtimai	İçtimai	1
Mebusan’in	Mebusan’ın	1
sair	şair	1
kiymettar	kıymettar	1
Curna	Cuma	1
sinirlarimiz	sınırlarımız	1
varliğımizi	varlığımızı	1
imarina	imarına	1
oluşturacakti	oluşturacaktı	1
Bayindirlik	Bayındırlık	1
Fazil	Fazıl	1
Iktisat’a	İktisat’a	1
Sihhiye’ye	Sıhhiye’ye	1
Nafia’ya	Nafıa’ya	1
Başkanliği’na	Başkanlığı’na	1
bulmuyorlardi	bilmiyorlardı	1
kazanilmış	kazanılmış	1
ıkiyorduk	ikiyorduk	1
sikilmadan	sıkılmadan	1
ettin	ettim	1
ünit	unit	1
Ihanet	İhanet	1
fedakârliklarla	fedakârlıklarla	1
Kanunlari’ni	Kanunları’nı	1
iliki	ılıkı	1
giicii	gücü	1
ordıı	ordu	1
kiirk	kürk	1
amalı	arnali	1
Büyiik	Büyük	1
başkanliğına	başkanlığına	1
başbakanliğa	başbakanlığa	1
toplantiyı	toplantıyı	1
şartini	şartını	1
Şarpiyi	Sarpıyı	1
Zekâsi	Zekası	1
yaklaştiriyordu	yaklaştırıyordu	1
bııgiin	bugün	1
hüküıneti	hükümeti	1
hüküınet	hükümet	1
yayimda	yayımda	1
bakanliklari	bakanlıkları	1
PaŞa'nin	Paşa'nın	1
Türkocaği	Türkocağı	1
sürckli	surcklı	1
fisildanan	fısıldanan	1
akşamindan	aksamından	1
kayıpti	kayıptı	1
çıkmamasi	çıkmaması	1
olsıın	olsun	1
koınutasındaki	komutasındaki	1
yiikii	yükü	1
ediyors11nuz	ediyorsunuz	1
yaradilışli	yaradılışlı	1
hoşlanmadiğini	hoşlanmadığını	1
Işlediği	İşlediği	1
sayip	sayıp	1
Kaptan’in	Kaptan’ın	1
başarmışti	başarmıştı	1
düşmanliğin	düşmanlığın	1
kahramanliklarindan	kahramanlıklarından	1
Aralari	Araları	1
Alayl’nin	Alayl’nın	1
donaniminin	donanımının	1
Ağa’yi	Ağa’yı	1
yaradilişına	yaradılışına	1
bağliliğina	bağlılığına	1
Bakanliğl’nin	Bakanlığl’nın	1
Matbaasi’na	Matbaası’na	1
B11rada	Burada	1
hiikiiınetin	hükümetin	1
hiıkim	hükm	1
bunaliminın	bunalımının	1
camekânli	camekanlı	1
ıkardiği	ıkardığı	1
yaprağinda	yaprağında	1
sorarsm	sorarım	1
Bunlarmn	Bunların	1
Okuyamadıklarim	Okuyamadıklarım	1
ieriğini	ıeriğini	1
simdi	şimdi	1
Bakam	Bakan	1
Notlari	Notları	1
bakmdan	bakımdan	1
bukuki	büküki	1
Anayasa'nin	Anayasa'nın	1
giicü	gücü	1
Fırkası'nm	Fırkası'nın	1
Hiikümetçe	Hükümetçe	1
Paşalann	Paşaların	1
Hiikümetin	Hükümetin	1
Hükiimeti'ne	Hükümeti'ne	1
Atatiirk'iin	Atatürk'ün	1
tııtııp	tutup	1
imete	mete	1
cezalandirilmasi	cezalandırılması	1
saniklarin	sanıkların	1
yapacağıni	yapacağını	1
Izmir’deydi	İzmir’deydi	1
kalkişmalari	kalkışmaları	1
hatırlatilmasi	hatırlatılması	1
âlinizin	alinizin	1
Sadak	Sadık	1
âlilerince	alilerince	1
buyurulmasi	buyurulması	1
çıkarmışti	çıkarmıştı	1
açıklamalari	açıklamaları	1
iizgiin	üzgün	1
hiikümeti	hükümeti	1
yikilmamasi	yıkılmaması	1
hakkiydi	hakkıydı	1
Molla'nin	Molla'nın	1
tartişilmasi	tartışılması	1
baçarilar	bacarılar	1
alacakti	alacaktı	1
yayimlayacak	yayımlayacak	1
onay1	onayı	1
ınali	mali	1
iistiinde	üstünde	1
hiiküınet	hükümet	1
Cıımhııriyet	Cumhuriyet	1
yanlişlari	yanlışları	1
kapatiliyordu	kapatılıyordu	1
Kâğit	Kağıt	1
açıklamasıni	açıklamasını	1
KadiN	Kadın	1
simsıki	sımsıkı	1
Parki'nda	Parkı'nda	1
Parki'ndan	Parkı'ndan	1
ayrilyorduk	ayrılyorduk	1
Hanumefendi	Hanımefendi	1
hükiimet	hükümet	1
Hükünıet	Hükümet	1
Başknnı	Baskının	1
Maari	Maan	1
koydıı	koydu	1
Atatiirk'ii	Atatürk'ü	1
Imar	İmar	1
Iskân	İskan	1
bankanin	bankanın	1
Bakanliğlndan	Bakanlığlndan	1
Bankasi’ni	Bankası’nı	1
Bankasi’nın	Bankası’nın	1
Iktisat	İktisat	1
imali	mali	1
Bayar’i	Bayar’ı	1
hoşlanmamişti	hoşlanmamıştı	1
alimindan	alımından	1
aydinlatilmasi	aydınlatılması	1
Kalktim	Kalktım	1
yatiştirmaya	yatıştırmaya	1
kamarasina	kamarasına	1
çalştim	çalştım	1
başkanliğa	başkanlığa	1
Inönü’nün	İnönü’nün	1
Rastlantiya	Rastlantıya	1
adayinin	adayının	1
alişılmişın	alışılmışın	1
Bakanliğl’na	Bakanlığl’na	1
Kadiköy’de	Kadıköy’de	1
buluştuklari	buluştukları	1
çunlari	çünları	1
anlattiğina	anlattığına	1
Arkadaşimiın	Arkadaşımıın	1
sinirliymi	sınırlıymı	1
öğrenbakalim	öğrenbakalım	1
düçüncesi	ducüncesi	1
yalaninin	yalanının	1
kizmış	kızmış	1
çıkmasiyla	çıkmasıyla	1
çıkiyorlardi	çıkıyorlardı	1
karşiladik	karşıladık	1
dağildiğini	dağıldığını	1
başbakanliktan	başbakanlıktan	1
uzaklaştirldiğini	uzaklaştırldığını	1
bııldum	buldum	1
Atatiirk	Atatürk	1
Gari'nda	Garı'nda	1
yapidaydi	yapıdaydı	1
Bağrilmadan	Bağrılmadan	1
duymazdi	duymazdı	1
alşmışti	alsmıştı	1
duyarm	duyan	1
adani	adını	1
goğunun	çoğunun	1
duymasina	duymasına	1
açıkladiği	açıkladığı	1
sarildiğini	sarıldığını	1
Diyarbakur	Diyarbakır	1
Palas’in	Palas’ın	1
oturmadi	oturmadı	1
tukdim	tükdim	1
turli	türli	1
birakacaksiniz!	bırakacaksınız!	1
Kâzu	Kızı	1
Fransizcaya	Fransızcaya	1
itürk’ün	ıturk’ün	1
hazırlayip	hazırlayıp	1
Pasam	Paşam	1
inananlardandi	inananlardandı	1
tekilatinin	tekilatının	1
çalşmişti	çalşmıştı	1
yararlilik	yararlılık	1
insanlardi	insanlardı	1
toplayacaği	toplayacağı	1
Diişleri	Dıışleri	1
Akvam’daki	Akvam’dakı	1
Sadak’in	Sadak’ın	1
Imzalanan	İmzalanan	1
ayrıntilari	ayrıntıları	1
Bayar’in	Bayar’ın	1
Çocııklar	Çocuklar	1
giinde	günde	1
güçliik	güçlük	1
türlii	türlü	1
davııl	davul	1
Hüküınet	Hükümet	1
Sükı1n	Sükun	1
karşısmda	karşısında	1
olmaksızm	olmaksızın	1
tiirlü	türlü	1
olıışturur	oluşturur	1
olnıuşlardı	olmuşlardı	1
hiikiimet	hükümet	1
bulıınduğu	bulunduğu	1
ıılusal	ulusal	1
ıılaşması	ulaşması	1
teşebbiisatı	teşebbüsatı	1
ııcak	uçak	1
meınurin	memurin	1
hiikümet	hükümet	1
hükünıet	hükümet	1
hiikümetten	hükümetten	1
Kânûn	Kanuni	1
sânî	Sami	1
Hiyanet	Hıyanet	1
Nazim	Nazım	1
Kirşehir	Kırşehir	1
Çankıri	Çankırı	1
Çankiri	Çankırı	1
vaz’larina	vaz’larına	1
tabliyelerine	tablıyelerine	1
Sermubarrir	Sermubarrır	1
ikâmetine	ikametine	1
efradindan	efradından	1
Ziyaetullab’in	Ziyaetullab’ın	1
Abdilkadir’in	Abdilkadır’ın	1
cezalarina	cezalarına	1
Nizamcttin	Nizamcttın	1
hakkida	hakkıda	1
Karari	Kararı	1
hakkndaki	hakkındaki	1
sorumı	sorun	1
Isviçre’de	İsviçre’de	1
bağımsizliği	bağımsızlığı	1
teşkilatiyla	teşkilatıyla	1
kandirarak	kandırarak	1
Sagir	Sağır	1
sinirında	sınırında	1
anlatmşti	anlatmıştı	1
yayımlanmasi	yayımlanması	1
Isfahan’daki	Isfahan’dakı	1
ajanlarinin	ajanlarının	1
Şahi’ni	Sahi’ni	1
Şah’in	Şah’ın	1
karişmişti	karışmıştı	1
Ingiltere’den	İngiltere’den	1
baskisıyla	baskısıyla	1
harcamiş	harcamış	1
Afganlilarla	Afganlılarla	1
Afganliya	Afganlıya	1
tutuklanşti	tutuklanştı	1
pacayi	paçayı	1
kurtarmişti	kurtarmıştı	1
gelebi	Çelebi	1
ustalik	ustalık	1
suikastlari	suikastları	1
Müslümanlarinın	Müslümanlarının	1
takimdan	takımdan	1
yaptiracakti	yaptıracaktı	1
çalyacakti	çalyacaktı	1
araştirmişti	araştırmıştı	1
vekilharcinin	vekilharcının	1
öldürmcuin	öldürmcuın	1
imkânsizliğini	imkansızlığını	1
anlamiti	anlamıtı	1
Hiiküıneti	Hükümeti	1
malıımat	malumat	1
sııret	suret	1
mahsıısada	mahsusada	1
casııslıık	casusluk	1
yalnuz	yalnız	1
anlaşildiğindan	anlaşıldığından	1
vicahlarinda	vicahlarında	1
Izzet’in	İzzet’in	1
yazilmuş	yazılmış	1
görüştiü	görüştü	1
idamu	idari	1
sifabi	şifabı	1
kilmakta	kılmakta	1
muvazaadir	muvazaadır	1
diişüncesiyle	düşüncesiyle	1
bakanin	bakanın	1
Balikesir'den	Balıkesir'den	1
Bakanliğr’nda	Bakanlığr’nda	1
odasindaydi	odasındaydı	1
arandiği	arandığı	1
bakaninin	bakanının	1
Ankar	İnkar	1
hazırlatmışti	hazırlatmıştı	1
tutuklanmalarini	tutuklanmalarını	1
kararlaştirdik	kararlaştırdık	1
kararimizin	kararımızın	1
Ucs	İçi	1
Keınal'in	Kemal'in	1
düşündiik	düşündük	1
Teşkilati	Teşkilatı	1
maksadiniz	maksadınız	1
Teşkilati’na	Teşkilatı’na	1
imzasiyla	imzasıyla	1
yurtdişından	yurtdışından	1
çabanin	çabanın	1
yoğunlaştiği	yoğunlaştığı	1
teşkilatn	teşkilatın	1
Islamlar	İslamlar	1
teşkilatini	teşkilatını	1
adaylarin	adayların	1
teşkilatindan	teşkilatından	1
vefasizlik	vefasızlık	1
tezgâhi	tezgahı	1
Ittihatçı	İttihatçı	1
birkaçıni	birkaçını	1
Izmit’te	İzmit’te	1
anlatmışti	anlatmıştı	1
Teşkilatina	Teşkilatına	1
Toplantida	Toplantıda	1
katilın	katilin	1
canlandirilmasi	canlandırılması	1
inkilabinin	inkılabının	1
Kııra	Kura	1
